author_keywords,citation_count,eid,length_of_abstract,publication_year,refcount,sub_type,subject_areas
"fecal calprotectin,functional foods,inflammation,inflammatory cytokines,inulin,obesity,prebiotics",3,2-s2.0-85138600072,321,2022,41,ar,SOCI
"fecal calprotectin,functional foods,inflammation,inflammatory cytokines,inulin,obesity,prebiotics",3,2-s2.0-85138600072,321,2022,41,ar,HEAL
"cattle,endometrium,heat exposure,immune response,prostaglandin",0,2-s2.0-85138564993,214,2022,71,ar,AGRI
"cattle,endometrium,heat exposure,immune response,prostaglandin",0,2-s2.0-85138564993,214,2022,71,ar,VETE
"innovation,managerial myopia,market for corporate control,takeover,takeover threats",0,2-s2.0-85138530267,136,2022,70,ar,BUSI
"COVID-19,CRISPR,SARS-CoV-2,variants of concern",0,2-s2.0-85138520496,195,2022,77,re,MEDI
"COVID-19,CRISPR,SARS-CoV-2,variants of concern",0,2-s2.0-85138520496,195,2022,77,re,BIOC
"COVID-19,CRISPR,SARS-CoV-2,variants of concern",0,2-s2.0-85138520496,195,2022,77,re,IMMU
"Immune checkpoint,Peripheral T-cell lymphoma,Prognosis,Programmed cell death",0,2-s2.0-85138458285,206,2022,19,ar,MEDI
"ancestral state reconstruction,evolutionary genomics,LTR retrotransposon,placenta",1,2-s2.0-85138447498,184,2022,127,ar,AGRI
"ancestral state reconstruction,evolutionary genomics,LTR retrotransposon,placenta",1,2-s2.0-85138447498,184,2022,127,ar,BIOC
"Chemicals,Compounds,Cyanobacteria,Nitrogen,PHB,Poly(3-hydroxybutyrate)",2,2-s2.0-85138444704,259,2022,101,ar,BIOC
"Chemicals,Compounds,Cyanobacteria,Nitrogen,PHB,Poly(3-hydroxybutyrate)",2,2-s2.0-85138444704,259,2022,101,ar,AGRI
"doctors,emotional exhaustion,National Fitness Program,perceived stress,self-efficacy,sports involvement",2,2-s2.0-85138428069,196,2022,65,ar,ENVI
"doctors,emotional exhaustion,National Fitness Program,perceived stress,self-efficacy,sports involvement",2,2-s2.0-85138428069,196,2022,65,ar,MEDI
"cGAS deficiency,colon cancer,Dectin-1,dysbiosis,macrophages,S. cerevisiae,whole glucan particle",7,2-s2.0-85138419529,210,2022,83,ar,CENG
"cGAS deficiency,colon cancer,Dectin-1,dysbiosis,macrophages,S. cerevisiae,whole glucan particle",7,2-s2.0-85138419529,210,2022,83,ar,BIOC
"cGAS deficiency,colon cancer,Dectin-1,dysbiosis,macrophages,S. cerevisiae,whole glucan particle",7,2-s2.0-85138419529,210,2022,83,ar,CHEM
"cGAS deficiency,colon cancer,Dectin-1,dysbiosis,macrophages,S. cerevisiae,whole glucan particle",7,2-s2.0-85138419529,210,2022,83,ar,COMP
"constitutive androstane receptor,CYP1A1,keratinocytes,oxidative stress,phenanthrene,pregnane X receptor",0,2-s2.0-85138416154,206,2022,86,ar,AGRI
"constitutive androstane receptor,CYP1A1,keratinocytes,oxidative stress,phenanthrene,pregnane X receptor",0,2-s2.0-85138416154,206,2022,86,ar,NURS
"Cleistocalyx nervosum var. paniala,glutamate,HT22 cells,molecular mechanisms,neuron injury,neuroprotection,neurotoxicity,oxidative stress,resveratrol",3,2-s2.0-85138409626,214,2022,78,ar,CHEM
"Cleistocalyx nervosum var. paniala,glutamate,HT22 cells,molecular mechanisms,neuron injury,neuroprotection,neurotoxicity,oxidative stress,resveratrol",3,2-s2.0-85138409626,214,2022,78,ar,BIOC
"Cleistocalyx nervosum var. paniala,glutamate,HT22 cells,molecular mechanisms,neuron injury,neuroprotection,neurotoxicity,oxidative stress,resveratrol",3,2-s2.0-85138409626,214,2022,78,ar,PHAR
"athlete burnout,competitive state anxiety,mindfulness,regulatory emotional self-efficacy",2,2-s2.0-85138387073,196,2022,61,ar,ENVI
"athlete burnout,competitive state anxiety,mindfulness,regulatory emotional self-efficacy",2,2-s2.0-85138387073,196,2022,61,ar,MEDI
"cervical cancer,HPVs,human papillomavirus,virome",1,2-s2.0-85138382030,183,2022,52,ar,MEDI
"cervical cancer,HPVs,human papillomavirus,virome",1,2-s2.0-85138382030,183,2022,52,ar,IMMU
"CRISPR,isothermal amplification,loop-mediated isothermal amplification,nucleic acid amplification technology,rolling circle amplification",4,2-s2.0-85138361988,134,2022,60,re,CHEM
"CRISPR,isothermal amplification,loop-mediated isothermal amplification,nucleic acid amplification technology,rolling circle amplification",4,2-s2.0-85138361988,134,2022,60,re,BIOC
"CRISPR,isothermal amplification,loop-mediated isothermal amplification,nucleic acid amplification technology,rolling circle amplification",4,2-s2.0-85138361988,134,2022,60,re,ENGI
"CRISPR,isothermal amplification,loop-mediated isothermal amplification,nucleic acid amplification technology,rolling circle amplification",4,2-s2.0-85138361988,134,2022,60,re,PHYS
"Bile duct cancer,Biomarker,Cancer screening,Cholangiocarcinoma (CCA),Diagnostic model,Volatile organic compounds (VOCs)",1,2-s2.0-85138205320,291,2022,36,ar,MEDI
"Beyond Standard Model,Hadron-Hadron Scattering,Vector Boson Production,Vector-Like Quarks",4,2-s2.0-85138201723,208,2022,68,ar,PHYS
"Bangkok,BEV taxis,charging station,electric taxis,location selection",3,2-s2.0-85138115605,197,2022,39,ar,COMP
"Bangkok,BEV taxis,charging station,electric taxis,location selection",3,2-s2.0-85138115605,197,2022,39,ar,SOCI
"Bangkok,BEV taxis,charging station,electric taxis,location selection",3,2-s2.0-85138115605,197,2022,39,ar,ENER
"Bangkok,BEV taxis,charging station,electric taxis,location selection",3,2-s2.0-85138115605,197,2022,39,ar,ENGI
"Bangkok,BEV taxis,charging station,electric taxis,location selection",3,2-s2.0-85138115605,197,2022,39,ar,ENVI
"brand equity,customer attitude,DESG,Thailand",7,2-s2.0-85137938723,271,2022,57,ar,COMP
"brand equity,customer attitude,DESG,Thailand",7,2-s2.0-85137938723,271,2022,57,ar,SOCI
"brand equity,customer attitude,DESG,Thailand",7,2-s2.0-85137938723,271,2022,57,ar,ENER
"brand equity,customer attitude,DESG,Thailand",7,2-s2.0-85137938723,271,2022,57,ar,ENGI
"brand equity,customer attitude,DESG,Thailand",7,2-s2.0-85137938723,271,2022,57,ar,ENVI
"Bayesian optimization algorithm,hyperparameters,road-crash-related pedestrian fatalities,sustainable safety of pedestrians",4,2-s2.0-85137936362,242,2022,66,ar,COMP
"Bayesian optimization algorithm,hyperparameters,road-crash-related pedestrian fatalities,sustainable safety of pedestrians",4,2-s2.0-85137936362,242,2022,66,ar,SOCI
"Bayesian optimization algorithm,hyperparameters,road-crash-related pedestrian fatalities,sustainable safety of pedestrians",4,2-s2.0-85137936362,242,2022,66,ar,ENER
"Bayesian optimization algorithm,hyperparameters,road-crash-related pedestrian fatalities,sustainable safety of pedestrians",4,2-s2.0-85137936362,242,2022,66,ar,ENGI
"Bayesian optimization algorithm,hyperparameters,road-crash-related pedestrian fatalities,sustainable safety of pedestrians",4,2-s2.0-85137936362,242,2022,66,ar,ENVI
"bayesian optimization algorithm,household vehicle ownership,support vector machine,sustainable transport development",3,2-s2.0-85137928189,266,2022,67,ar,COMP
"bayesian optimization algorithm,household vehicle ownership,support vector machine,sustainable transport development",3,2-s2.0-85137928189,266,2022,67,ar,SOCI
"bayesian optimization algorithm,household vehicle ownership,support vector machine,sustainable transport development",3,2-s2.0-85137928189,266,2022,67,ar,ENER
"bayesian optimization algorithm,household vehicle ownership,support vector machine,sustainable transport development",3,2-s2.0-85137928189,266,2022,67,ar,ENVI
"electron irradiation,GaAs,high-energy particle,hydrophilic",0,2-s2.0-85137924644,210,2022,54,ar,MATE
"electron irradiation,GaAs,high-energy particle,hydrophilic",0,2-s2.0-85137924644,210,2022,54,ar,PHYS
"bat,diversity,gene flow,population structure,temple",0,2-s2.0-85137920388,196,2022,70,ar,COMP
"bat,diversity,gene flow,population structure,temple",0,2-s2.0-85137920388,196,2022,70,ar,SOCI
"bat,diversity,gene flow,population structure,temple",0,2-s2.0-85137920388,196,2022,70,ar,ENER
"bat,diversity,gene flow,population structure,temple",0,2-s2.0-85137920388,196,2022,70,ar,ENGI
"bat,diversity,gene flow,population structure,temple",0,2-s2.0-85137920388,196,2022,70,ar,ENVI
"emotional labor,Factor analysis,job satisfaction,university teachers,well-being",1,2-s2.0-85137885363,253,2022,18,ar,PSYC
"emotional labor,Factor analysis,job satisfaction,university teachers,well-being",1,2-s2.0-85137885363,253,2022,18,ar,SOCI
"evaluation model development,green indicator,green output,green process,green supermarket",0,2-s2.0-85137882571,178,2022,37,ar,COMP
"evaluation model development,green indicator,green output,green process,green supermarket",0,2-s2.0-85137882571,178,2022,37,ar,SOCI
"evaluation model development,green indicator,green output,green process,green supermarket",0,2-s2.0-85137882571,178,2022,37,ar,ENER
"evaluation model development,green indicator,green output,green process,green supermarket",0,2-s2.0-85137882571,178,2022,37,ar,ENGI
"evaluation model development,green indicator,green output,green process,green supermarket",0,2-s2.0-85137882571,178,2022,37,ar,ENVI
"antibiotic replacement,broiler,drug resistances,key success factor,product planning",2,2-s2.0-85137877762,225,2022,47,ar,COMP
"antibiotic replacement,broiler,drug resistances,key success factor,product planning",2,2-s2.0-85137877762,225,2022,47,ar,SOCI
"antibiotic replacement,broiler,drug resistances,key success factor,product planning",2,2-s2.0-85137877762,225,2022,47,ar,ENER
"antibiotic replacement,broiler,drug resistances,key success factor,product planning",2,2-s2.0-85137877762,225,2022,47,ar,ENGI
"antibiotic replacement,broiler,drug resistances,key success factor,product planning",2,2-s2.0-85137877762,225,2022,47,ar,ENVI
"anti-LGI1,cerebellar ataxia,sleep disorders,status dissociatus",0,2-s2.0-85137842430,0,2022,12,ar,NEUR
"anti-LGI1,cerebellar ataxia,sleep disorders,status dissociatus",0,2-s2.0-85137842430,0,2022,12,ar,MEDI
"nonmetallic printed circuit board,polyvinyl chloride composite,silane coupling agent",4,2-s2.0-85137810304,327,2022,40,ar,CHEM
"nonmetallic printed circuit board,polyvinyl chloride composite,silane coupling agent",4,2-s2.0-85137810304,327,2022,40,ar,MATE
"Clavien–Dindo classification,epithelial ovarian cancer,morbidity,postoperative complications,time to chemotherapy",1,2-s2.0-85137754485,285,2022,44,ar,MEDI
"Clavien–Dindo classification,epithelial ovarian cancer,morbidity,postoperative complications,time to chemotherapy",1,2-s2.0-85137754485,285,2022,44,ar,BIOC
"burden of care,family caregiver,psychological well-being,schizophrenia",0,2-s2.0-85137735408,155,2022,72,ar,SOCI
"burden of care,family caregiver,psychological well-being,schizophrenia",0,2-s2.0-85137735408,155,2022,72,ar,MEDI
"d-Camphor,EEG,emotional states,psychophysiological parameters,sedative effects",0,2-s2.0-85137721382,196,2022,30,ar,SOCI
"d-Camphor,EEG,emotional states,psychophysiological parameters,sedative effects",0,2-s2.0-85137721382,196,2022,30,ar,MEDI
"biomarker,diabetes,isopropanol,molecularly imprinted polymer,optical sensor,volatile organic compound",2,2-s2.0-85137713765,212,2022,43,ar,PHYS
"biomarker,diabetes,isopropanol,molecularly imprinted polymer,optical sensor,volatile organic compound",2,2-s2.0-85137713765,212,2022,43,ar,COMP
"biomarker,diabetes,isopropanol,molecularly imprinted polymer,optical sensor,volatile organic compound",2,2-s2.0-85137713765,212,2022,43,ar,MATH
"colon cancer,intestinal obstruction,palliative therapy,self-expandable metal stent,surgical stomas",1,2-s2.0-85137641849,269,2022,30,ar,MEDI
"Dental caries,Dental gel,Formulation,Pastille,Stability,Xylitol",0,2-s2.0-85137640995,216,2022,13,ar,MEDI
"Dental caries,Dental gel,Formulation,Pastille,Stability,Xylitol",0,2-s2.0-85137640995,216,2022,13,ar,PHAR
"Fairness,Gini index,Income distribution,Inequality,Sustainable Development Goals",0,2-s2.0-85137630447,221,2022,56,ar,MULT
"Aurisin A,beta-cyclodextrins,inclusion complex,lung cancer",0,2-s2.0-85137607998,225,2022,62,ar,CENG
"Aurisin A,beta-cyclodextrins,inclusion complex,lung cancer",0,2-s2.0-85137607998,225,2022,62,ar,BIOC
"Aurisin A,beta-cyclodextrins,inclusion complex,lung cancer",0,2-s2.0-85137607998,225,2022,62,ar,CHEM
"Aurisin A,beta-cyclodextrins,inclusion complex,lung cancer",0,2-s2.0-85137607998,225,2022,62,ar,COMP
"antioxidant,lumbar disc degeneration,oxidative stress,relative telomere length,severity",2,2-s2.0-85137596559,277,2022,30,ar,CENG
"antioxidant,lumbar disc degeneration,oxidative stress,relative telomere length,severity",2,2-s2.0-85137596559,277,2022,30,ar,BIOC
"antioxidant,lumbar disc degeneration,oxidative stress,relative telomere length,severity",2,2-s2.0-85137596559,277,2022,30,ar,CHEM
"antioxidant,lumbar disc degeneration,oxidative stress,relative telomere length,severity",2,2-s2.0-85137596559,277,2022,30,ar,COMP
"aqp-1,Cyclin D1,daf-16,GAP-43,neurite outgrowth,SIRT1,Teneurin-4",3,2-s2.0-85137596253,244,2022,65,ar,AGRI
"aqp-1,Cyclin D1,daf-16,GAP-43,neurite outgrowth,SIRT1,Teneurin-4",3,2-s2.0-85137596253,244,2022,65,ar,NURS
"aging,community-integrated intermediary care (CIIC),fall,geriatric depression,older adult,Thailand",5,2-s2.0-85137594876,208,2022,44,ar,ENVI
"aging,community-integrated intermediary care (CIIC),fall,geriatric depression,older adult,Thailand",5,2-s2.0-85137594876,208,2022,44,ar,MEDI
"gut microbiome,meta-analysis,probiotic,stroke",4,2-s2.0-85137544852,211,2022,59,re,AGRI
"gut microbiome,meta-analysis,probiotic,stroke",4,2-s2.0-85137544852,211,2022,59,re,NURS
"R9 route,Thai-Lao cross border,Transportation,Transportation optimization",0,2-s2.0-85137343704,328,2022,28,ar,BUSI
"R9 route,Thai-Lao cross border,Transportation,Transportation optimization",0,2-s2.0-85137343704,328,2022,28,ar,DECI
"High-dose chemotherapy plus stem cell rescue,High-risk neuroblastoma,Prognostic factors,Survival",0,2-s2.0-85137193266,244,2022,15,ar,MEDI
"High-dose chemotherapy plus stem cell rescue,High-risk neuroblastoma,Prognostic factors,Survival",0,2-s2.0-85137193266,244,2022,15,ar,NURS
"Colorimetric aptasensor,Electrochemical aptasensor,Electrochemiluminescent aptasensor,Fluorescent aptasensor,Organophosphorus pesticides",5,2-s2.0-85137137515,182,2022,172,re,CHEM
"calmodulin,dehydration stress,reactive oxygen species,the transgenic plants over-expressing OsCam1-1",1,2-s2.0-85137126405,160,2022,67,ar,BIOC
"calmodulin,dehydration stress,reactive oxygen species,the transgenic plants over-expressing OsCam1-1",1,2-s2.0-85137126405,160,2022,67,ar,CHEM
"calmodulin,dehydration stress,reactive oxygen species,the transgenic plants over-expressing OsCam1-1",1,2-s2.0-85137126405,160,2022,67,ar,IMMU
"Antioxidant,Bioactive compound,Cellulase,Centella asiatica,Essential oil,Total phenolic compound",0,2-s2.0-85137092151,203,2022,44,ar,BIOC
"Antioxidant,Bioactive compound,Cellulase,Centella asiatica,Essential oil,Total phenolic compound",0,2-s2.0-85137092151,203,2022,44,ar,AGRI
"Antioxidant,Bioactive compound,Cellulase,Centella asiatica,Essential oil,Total phenolic compound",0,2-s2.0-85137092151,203,2022,44,ar,CENG
"Antioxidant,Bioactive compound,Cellulase,Centella asiatica,Essential oil,Total phenolic compound",0,2-s2.0-85137092151,203,2022,44,ar,IMMU
"Decommissioning,Ecological benefits,Fish assemblage,Fisheries,Gulf of Thailand,Jackets,Oil and gas platforms,Reefing,Socioeconomic benefits,Towing",1,2-s2.0-85137056958,186,2022,64,ar,EART
"Decommissioning,Ecological benefits,Fish assemblage,Fisheries,Gulf of Thailand,Jackets,Oil and gas platforms,Reefing,Socioeconomic benefits,Towing",1,2-s2.0-85137056958,186,2022,64,ar,AGRI
"Decommissioning,Ecological benefits,Fish assemblage,Fisheries,Gulf of Thailand,Jackets,Oil and gas platforms,Reefing,Socioeconomic benefits,Towing",1,2-s2.0-85137056958,186,2022,64,ar,ENVI
"CD55,complement,IBD-like condition,novel variant,protein-losing enteropathy",1,2-s2.0-85137010032,0,2022,10,ar,MEDI
"Lung cancer metastasis,NECTIN2,Networks,PPI,Protein-protein interaction,Proteomics",0,2-s2.0-85137008512,269,2022,37,ar,BIOC
"Cities,COVID-19,Delta variant,Global response,Management,Provinces,Swiss Cheese,Testing,Transmission",12,2-s2.0-85137002138,259,2022,47,ar,MEDI
"Brugia malayi,Glycerolipids,Glycerophospholipids,Lymphatic filariasis,Mass spectrometry,Sphingolipids",0,2-s2.0-85136997069,171,2022,27,ar,BIOC
"Brugia malayi,Glycerolipids,Glycerophospholipids,Lymphatic filariasis,Mass spectrometry,Sphingolipids",0,2-s2.0-85136997069,171,2022,27,ar,ENVI
"Brugia malayi,Glycerolipids,Glycerophospholipids,Lymphatic filariasis,Mass spectrometry,Sphingolipids",0,2-s2.0-85136997069,171,2022,27,ar,AGRI
"bonus,CEO,CFO,compensation,cost of equity,executive,Sarbanes–Oxley Act,shareholding,SOX,stock option",0,2-s2.0-85136915753,208,2022,70,ar,ECON
"anticancer,cancer stem cell,Lung cancer,plant-derived compounds,review",2,2-s2.0-85136904817,228,2022,125,re,MEDI
"anticancer,cancer stem cell,Lung cancer,plant-derived compounds,review",2,2-s2.0-85136904817,228,2022,125,re,BIOC
"Epithelial to mesenchymal transition,lung cancer,potential compounds targeting EMT,review",3,2-s2.0-85136876010,189,2022,82,re,MEDI
"Epithelial to mesenchymal transition,lung cancer,potential compounds targeting EMT,review",3,2-s2.0-85136876010,189,2022,82,re,BIOC
"domestic cat hepadnavirus,hepatitis,hepatocyte proliferation,real-time polymerase chain reaction,viral localization",1,2-s2.0-85136846427,274,2022,36,ar,VETE
"Binomials,Eye tracking,Multiword chunks,Predictability,Self-paced reading,Sentence processing",0,2-s2.0-85136844719,249,2022,110,ar,PSYC
"Binomials,Eye tracking,Multiword chunks,Predictability,Self-paced reading,Sentence processing",0,2-s2.0-85136844719,249,2022,110,ar,NEUR
"Binomials,Eye tracking,Multiword chunks,Predictability,Self-paced reading,Sentence processing",0,2-s2.0-85136844719,249,2022,110,ar,COMP
"ape,Miocene,orangutan,Southeast Asia,Thailand",2,2-s2.0-85136778823,417,2022,68,ar,EART
"hepatocellular carcinoma,screening and surveillance,ultrasound,US LI-RADS,visualization score",6,2-s2.0-85136734883,399,2022,19,ar,MEDI
"Children,COVID-19,Dog bite,Head and neck,Periorbital region",1,2-s2.0-85136592902,245,2022,23,ar,MEDI
"Children,COVID-19,Dog bite,Head and neck,Periorbital region",1,2-s2.0-85136592902,245,2022,23,ar,DENT
"Artificial coral reef,Artificial habitats,Bibliometric study,Biomimicry,Coastal structures,Innovation,New product development,Recreational waters,Stage-gate,Thailand",1,2-s2.0-85136590939,153,2022,50,ar,EART
"Artificial coral reef,Artificial habitats,Bibliometric study,Biomimicry,Coastal structures,Innovation,New product development,Recreational waters,Stage-gate,Thailand",1,2-s2.0-85136590939,153,2022,50,ar,AGRI
"Artificial coral reef,Artificial habitats,Bibliometric study,Biomimicry,Coastal structures,Innovation,New product development,Recreational waters,Stage-gate,Thailand",1,2-s2.0-85136590939,153,2022,50,ar,ENVI
"Black yeast,Coffee waste,Hemicellulolytic enzyme,Hemicellulose,Prebiotic,Saccharification",2,2-s2.0-85136473497,268,2022,64,ar,BIOC
"Black yeast,Coffee waste,Hemicellulolytic enzyme,Hemicellulose,Prebiotic,Saccharification",2,2-s2.0-85136473497,268,2022,64,ar,ENVI
"Black yeast,Coffee waste,Hemicellulolytic enzyme,Hemicellulose,Prebiotic,Saccharification",2,2-s2.0-85136473497,268,2022,64,ar,AGRI
"Anti-SARS-CoV-2 total antibody,COVID-19 vaccine,Health care workers,Inactivated SARS-CoV-2 vaccine,SARS-CoV-2 vaccine,Surrogate viral neutralizing antibody titer",19,2-s2.0-85136343240,273,2022,23,ar,MEDI
"Anti-SARS-CoV-2 total antibody,COVID-19 vaccine,Health care workers,Inactivated SARS-CoV-2 vaccine,SARS-CoV-2 vaccine,Surrogate viral neutralizing antibody titer",19,2-s2.0-85136343240,273,2022,23,ar,IMMU
"Autoinflammation,Early-phase psoriasis,Gene,Inflammatory skin disease,Innate immune response",7,2-s2.0-85136265449,256,2022,50,ar,BIOC
"Autoinflammation,Early-phase psoriasis,Gene,Inflammatory skin disease,Innate immune response",7,2-s2.0-85136265449,256,2022,50,ar,MEDI
"Classification,Low humidity operation,Machine learning,Prediction,Proton exchange membrane fuel cell",0,2-s2.0-85136185137,213,2022,40,ar,ENER
"Classification,Low humidity operation,Machine learning,Prediction,Proton exchange membrane fuel cell",0,2-s2.0-85136185137,213,2022,40,ar,PHYS
"Differential pulse voltammetry,Hepatitis C virus core antigen,Label-free immunosensor,Platinum nanoparticle,Screen-printed graphene electrode,Single-walled carbon nanotubes",1,2-s2.0-85136124510,205,2022,34,ar,CHEM
"Benefit-risk profile,Oral cancer,Oropharyngeal cancer,Surgical approach",1,2-s2.0-85135963797,253,2022,38,ar,MEDI
"First case,Imported infection,Monkeypox,Single nucleotide polymorphism,Taiwan",16,2-s2.0-85135941121,249,2022,15,ar,MEDI
"Heat shock protein 90,Litopenaeus vannamei,White spot syndrome virus,WSSV pathogenesis",3,2-s2.0-85135923595,224,2022,57,ar,IMMU
"Heat shock protein 90,Litopenaeus vannamei,White spot syndrome virus,WSSV pathogenesis",3,2-s2.0-85135923595,224,2022,57,ar,ENVI
"Heat shock protein 90,Litopenaeus vannamei,White spot syndrome virus,WSSV pathogenesis",3,2-s2.0-85135923595,224,2022,57,ar,AGRI
"mesocellular foam silica,Microcantilever,piezoelectric device,resonant frequency,screen-printing technology",0,2-s2.0-85135763363,208,2022,51,ar,PHYS
"mesocellular foam silica,Microcantilever,piezoelectric device,resonant frequency,screen-printing technology",0,2-s2.0-85135763363,208,2022,51,ar,ENGI
"Biodiesel,Heterogeneous catalysis,Metal-organic frameworks,Methyl oleate,Renewable energy,Reusability",14,2-s2.0-85135694636,159,2022,63,ar,ENER
"Bay of Bengal,demersal,first record,gurnard,Lepidotrigla omanensis",0,2-s2.0-85135635451,188,2022,28,ar,AGRI
"Biocellulose,Enzymatic degradation,Golden oyster mushroom,Komagataeibacter xylinus AGR 60,Pleurotus citrinopileatus",0,2-s2.0-85135508044,230,2022,31,ar,BIOC
"Biocellulose,Enzymatic degradation,Golden oyster mushroom,Komagataeibacter xylinus AGR 60,Pleurotus citrinopileatus",0,2-s2.0-85135508044,230,2022,31,ar,ENVI
"Biocellulose,Enzymatic degradation,Golden oyster mushroom,Komagataeibacter xylinus AGR 60,Pleurotus citrinopileatus",0,2-s2.0-85135508044,230,2022,31,ar,AGRI
"2004 Indian Ocean Tsunami,Building damage,Economic losses,MRIO table,Patong beach",0,2-s2.0-85135409986,408,2022,72,ar,ENGI
"2004 Indian Ocean Tsunami,Building damage,Economic losses,MRIO table,Patong beach",0,2-s2.0-85135409986,408,2022,72,ar,EART
"2004 Indian Ocean Tsunami,Building damage,Economic losses,MRIO table,Patong beach",0,2-s2.0-85135409986,408,2022,72,ar,SOCI
"AZD1222,COVID-19,Heterologous booster,Neutralizing antibody,Omicron,T cells",9,2-s2.0-85135271939,212,2022,41,ar,MEDI
"craniotomy,extubation,intracranial tumor,pediatric",0,2-s2.0-85135182207,260,2022,19,ar,MEDI
"carnivore bocaparvovirus,cat,central nervous system,feline bocavirus,in situ hybridization,transmission electron microscopy",3,2-s2.0-85135131662,321,2022,50,ar,IMMU
"carnivore bocaparvovirus,cat,central nervous system,feline bocavirus,in situ hybridization,transmission electron microscopy",3,2-s2.0-85135131662,321,2022,50,ar,VETE
"Antituberculosis drugs,Isoniazid,Latent tuberculosis infection,Pediatrics,Pharmacokinetics,Rifapentine",1,2-s2.0-85135013381,246,2022,60,ar,MEDI
"Antioxidant activity,Astaxanthin,Caco-2 cells,Self-microemulsifying tablets,Spray drying",3,2-s2.0-85134838332,280,2022,59,ar,PHAR
"Ban Kruat archaeological site,Buriram Province,Furnace,Iron-smelting production,Luminescence dating,Northeast Thailand,Terminal period,Tuyère",1,2-s2.0-85134797517,362,2022,32,ar,ARTS
"Ban Kruat archaeological site,Buriram Province,Furnace,Iron-smelting production,Luminescence dating,Northeast Thailand,Terminal period,Tuyère",1,2-s2.0-85134797517,362,2022,32,ar,SOCI
"Anaerobic fermentation,Emulsification,Hydrogen yield,Non-ionic surfactant,Palm oil mill effluent",4,2-s2.0-85134764932,141,2022,38,ar,CENG
"Anaerobic fermentation,Emulsification,Hydrogen yield,Non-ionic surfactant,Palm oil mill effluent",4,2-s2.0-85134764932,141,2022,38,ar,ENVI
"Anaerobic fermentation,Emulsification,Hydrogen yield,Non-ionic surfactant,Palm oil mill effluent",4,2-s2.0-85134764932,141,2022,38,ar,ENER
"Children,Drug-resistant tuberculosis,Isoniazid-resistant tuberculosis,Levofloxacin,Pharmacokinetics",1,2-s2.0-85134685335,194,2022,25,ar,MEDI
"Aggregation,Colloidal stability,Freezing,Gold nanoparticles,Lyophilization",5,2-s2.0-85134616936,179,2022,52,ar,BIOC
"Aggregation,Colloidal stability,Freezing,Gold nanoparticles,Lyophilization",5,2-s2.0-85134616936,179,2022,52,ar,PHYS
"Aggregation,Colloidal stability,Freezing,Gold nanoparticles,Lyophilization",5,2-s2.0-85134616936,179,2022,52,ar,CHEM
"Aggregation,Colloidal stability,Freezing,Gold nanoparticles,Lyophilization",5,2-s2.0-85134616936,179,2022,52,ar,CENG
"Calcium aluminate cement,Crystal growth,Nucleation",3,2-s2.0-85134571462,150,2022,109,ar,MATE
"Bending actuation,Compliant electrode,Deproteinized natural rubber,Dielectric elastomer,Functionalized multi-walled carbon nanotube,Multi-walled carbon nanotube",2,2-s2.0-85134430341,173,2022,32,ar,MATE
"Bending actuation,Compliant electrode,Deproteinized natural rubber,Dielectric elastomer,Functionalized multi-walled carbon nanotube,Multi-walled carbon nanotube",2,2-s2.0-85134430341,173,2022,32,ar,PHYS
"Bending actuation,Compliant electrode,Deproteinized natural rubber,Dielectric elastomer,Functionalized multi-walled carbon nanotube,Multi-walled carbon nanotube",2,2-s2.0-85134430341,173,2022,32,ar,ENGI
"Attention Deficit Hyperactivity Disorder symptoms,behavior management,parent involvement,school-age children",0,2-s2.0-85134326300,257,2022,39,ar,MEDI
"Consumer values,Ethical concern,Green consumption,Green cosmetics,Purchase intention",14,2-s2.0-85134221575,218,2022,84,ar,ENVI
"Consumer values,Ethical concern,Green consumption,Green cosmetics,Purchase intention",14,2-s2.0-85134221575,218,2022,84,ar,ENER
"Consumer values,Ethical concern,Green consumption,Green cosmetics,Purchase intention",14,2-s2.0-85134221575,218,2022,84,ar,ENGI
"A1. Crystal morphology,A1. Crystal structure,A3. Selective epitaxy,A3.Metalorganic vapor phase epitaxy,B1. Nitrides,B2. Semiconducting III-V materials,GaN",0,2-s2.0-85133964504,112,2022,18,ar,PHYS
"A1. Crystal morphology,A1. Crystal structure,A3. Selective epitaxy,A3.Metalorganic vapor phase epitaxy,B1. Nitrides,B2. Semiconducting III-V materials,GaN",0,2-s2.0-85133964504,112,2022,18,ar,CHEM
"A1. Crystal morphology,A1. Crystal structure,A3. Selective epitaxy,A3.Metalorganic vapor phase epitaxy,B1. Nitrides,B2. Semiconducting III-V materials,GaN",0,2-s2.0-85133964504,112,2022,18,ar,MATE
"Monte Carlo simulation,phase-space file,Small field",0,2-s2.0-85133926641,402,2022,38,no,HEAL
"Dendrobium,Orchid,Phenolic compounds,UPLC",0,2-s2.0-85133887496,267,2022,33,ar,CHEM
"Dendrobium,Orchid,Phenolic compounds,UPLC",0,2-s2.0-85133887496,267,2022,33,ar,CENG
"high risk,neuroblastoma,non-immunotherapy,outcomes,Thailand",0,2-s2.0-85133866017,244,2022,35,ar,MEDI
"Bioconjugation,Silk fibroin,Tobacco mosaic virus",3,2-s2.0-85133805110,192,2022,58,ar,BIOC
"colonoscopy,detection,education,flat and depressed lesions,randomized trial",1,2-s2.0-85133717103,269,2022,37,ar,MEDI
