eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount 
2-s2.0-85092604632,MEDI,2020,0,"arrhythmogenic cardiomyopathy,Brugada syndrome,ion channelopathy,sudden death,ventricular fibrillation",ed,3,19
2-s2.0-85091929987,MEDI,2020,240,"ablation,conduction,early repolarization,ventricular fibrillation",ar,20,15
2-s2.0-85108521910,"COMP,ENER,ENGI",2020,181,"acrylic,charge decay,DC corona,solid insulator,surface charge",cp,0,4
2-s2.0-85094830587,"CHEM,BIOC,PHAR",2020,73,"Dendrobium gibsonii,dihydrophenanthrenes,fluorene derivative,Orchidaceae,α-glucosidase inhibitory activity",ar,6,
2-s2.0-85093083225,MEDI,2020,0,,no,0,
2-s2.0-85100180450,COMP,2020,169,"fundamental stock analysis,new investor,SET50 index,stock exchange of Thailand (SET),web application",cp,0,14
2-s2.0-85100152053,COMP,2020,142,"driving assistance technology,traffic sign classification,traffic sign recognition",cp,5,14
2-s2.0-85094220018,"BIOC,CENG,ENGI,PHAR,CHEM",2020,247,,ar,10,44
2-s2.0-85092754501,"CHEM,BIOC,ENVI",2020,124,,ar,3,68
2-s2.0-85101003602,SOCI,2020,188,"Censorship,Freedom of expression,Property rights,SDG 16.10,Social media",ar,1,17
2-s2.0-85100067213,"ENER,ENVI",2020,274,"Air pollution,Health risk assessment,PAH,PCB,Thailand cities",cp,0,26
2-s2.0-85100027520,"ENER,ENVI",2020,141,"Ammonium,Box-Behnken design,Hydrochar,Microwave hydrothermal carbonization",cp,1,25
2-s2.0-85096715667,ENER,2020,210,"Community enterprise,Learning,Local sustainability,Motivation,Renewable energy,Sharing,Solar thermal energy",ar,0,44
2-s2.0-85086998154,"PHYS,CHEM,CENG",2020,180,"Crystal growth,Polydiacetylene,Reversible thermochromism,Self-Assembling,Solvent effect",ar,13,62
2-s2.0-85082414043,SOCI,2020,176,"Authenticity,Bangkok,Chinatown,discourses of contestation,linguistic landscape,production of space",ar,13,54
2-s2.0-85103065365,MEDI,2020,22,,ar,0,
2-s2.0-85061449279,MEDI,2020,220,"Diagnosis,gestational diabetes mellitus,HbA1c,OGTT",ar,13,12
2-s2.0-85093538281,"BIOC,CHEM",2020,70,,ar,3,63
2-s2.0-85093104729,"ENER,MATH,ENGI",2020,289,"Electromagnetic generator,Energy floor tile,Energy harvesting,Energy harvesting paver,Footstep energy harvesting,Piezoelectric,Power management system",ar,17,16
2-s2.0-85089810860,"CHEM,BIOC,ENVI",2020,207,"DNA strand displacement,Gold reporter probe,Hepatitis E virus,No-wash biosensor,One-pot detection",ar,13,39
2-s2.0-85088859218,"ENER,PHYS",2020,282,"Bacillus coagulans MO11,Biohydrogen technology,Clostridium beijerinckii CN,Ethanol refinery wastewater utilization,Molasses",ar,25,29
2-s2.0-85096554111,"CENG,ENER",2020,168,,ar,25,38
2-s2.0-85095861725,MEDI,2020,282,"adolescent,HIV,human papillomavirus,perinatal,persistence",ar,4,27
2-s2.0-85089274620,"ENGI,ENVI",2020,199,"Biomass gasification,CO2 emission,Dimethyl ether,Direct process,Exergoeconomic,Indirect process",ar,11,43
2-s2.0-85089216629,COMP,2020,196,"Bound checking thread,Buffer overflows,Compile-time transformation,Concurrent monitoring,Spatial memory safety",ar,2,53
2-s2.0-85088301623,ENVI,2020,301,"Chromium-contaminated water,Heavy metal,Hexavalent chromium,Powdered activated carbon block,Surface complexation",ar,10,67
2-s2.0-85087787759,"CHEM,PHYS,MATE",2020,272,"Cell differentiation,Osseointegration,Oxygen plasma immersion ion implantation,Titanium dental implant,Titanium dioxide",ar,31,43
2-s2.0-85087420788,"MATE,PHYS,ENGI",2020,179,"Cellulose nanofiber,Chitosan,Cotton thread-based sensor,Glucose,Graphene oxide,Urea",ar,57,41
2-s2.0-85087337289,"MATH,PHYS",2020,206,"Coarse-grained model,Interacting solute matrix,Monte Carlo simulation,Protein CorA,Protein folding",ar,0,17
2-s2.0-85087219983,"NEUR,MEDI",2020,271,"Multiple system atrophy,Orofacial dystonia,Oromandibular dystonia,Red flags,Risus sardonicus",ar,4,25
2-s2.0-85086128554,"CHEM,ENVI,CENG,ENGI",2020,222,"Bi-metallic multifunctional material,Ethanol reforming,Hydrogen production,Sorption-enhanced chemical looping autothermal reforming",ar,25,51
2-s2.0-85090068036,"BIOC,IMMU,VETE,MEDI",2020,299,"Diphtheria toxoid,Hemophilus influenzae,Immunization,Infant,Pregnancy,Tetanus toxoid",ar,5,25
2-s2.0-85063872748,ENVI,2020,168,"Agarose hydrogel,DFT calculation,gold probe,rhodamine,solvatochromism",ar,3,23
2-s2.0-85093521216,PHYS,2020,142,,ar,10,56
2-s2.0-85088094860,"MEDI,BIOC",2020,203,,ar,16,49
2-s2.0-85098700219,"COMP,DECI,ENGI",2020,166,"Area Business Continuity,Business Impact Analysis,Public-Private Partnership,Risk Assessment",cp,2,12
2-s2.0-85091941720,"CENG,CHEM",2020,163,"alkoxy silanes,coatings,inverse vulcanization,mercury remediation,sulfur",ar,26,47
2-s2.0-85092459404,MEDI,2020,244,"Acute vertigo,Central vertigo,microRNA,Peripheral vertigo,Posterior circulation stroke,Stroke biomarker",ar,10,16
2-s2.0-85090038895,PHYS,2020,162,"CMS,Diboson,Electroweak,Physics",ar,54,81
2-s2.0-85088820955,"MATE,PHYS,CHEM",2020,121,,er,0,
2-s2.0-85086591170,"ENER,ENVI,BUSI,ENGI",2020,243,"Elephant herd optimization algorithm,Gobi desert,Hybrid renewable energy system,Multi-objective optimization,Sensitivity analysis,ε-Constraint method",ar,59,33
2-s2.0-85085099908,"ENGI,MATE",2020,318,"Cement fly ash gravel,Deep mixing,Permeability,Porous concrete,Soft clay,Soil improvement,Stone column",ar,17,81
2-s2.0-85102950662,COMP,2020,160,"Automation Testing,Robot Framework,Selenium Boundary Value Testing,Software Testing,Test Automation Framework,Test Script",cp,1,17
2-s2.0-85092472405,BIOC,2020,369,"Cholangiocarcinoma,Invasion,Necroptosis,Receptor-interacting protein kinase 1 (RIPK1),Smac mimetic,Toll-like receptor 3",ar,4,88
2-s2.0-85092750488,"BIOC,PHAR",2020,157,,ar,4,84
2-s2.0-85092597075,VETE,2020,348,"Anaplasma marginale,Anaplasma platys,Detection,Genetic characterization,Thailand,Water buffalo",ar,17,40
2-s2.0-85092418732,AGRI,2020,116,"Burma,Philippines,Spider",ar,2,16
2-s2.0-85092132516,CHEM,2020,217,"2-phase electrochemical treatment,Electrochemical Synthesis,Electrocoagulation,Green synthesis,Two-phase electrolysis.",ar,3,20
2-s2.0-85080927672,COMP,2020,343,"Economy trust,Mobile money application,Perceived value,Service trust",ar,3,64
2-s2.0-85093978662,MEDI,2020,155,"coronavirus,COVID-19,family-wide PCR,NGS,novel pathogen,SARS-CoV-2,Thailand",ar,3,21
2-s2.0-85093365355,PHYS,2020,116,,ar,19,37
2-s2.0-85092681501,MATE,2020,174,,ar,47,22
2-s2.0-85092222832,PHAR,2020,218,"AFLP fingerprint,Genus Erythroxylum,Macroscopic characterisation,Microscopic characterisation",ar,0,28
2-s2.0-85092000651,"CENG,CHEM,MATE",2020,184,,ar,15,53
2-s2.0-85097332619,COMP,2020,155,,cp,5,50
2-s2.0-85093071688,"CHEM,CENG",2020,187,,ar,5,37
2-s2.0-85096777340,PHYS,2020,205,,ar,24,68
2-s2.0-85093365020,PHYS,2020,147,,ar,25,63
2-s2.0-85091942770,MEDI,2020,198,"Health literacy,Hypertension test,Thailand",ar,0,27
2-s2.0-85090695464,"PHYS,MATE,CHEM",2020,119,"Composites,Graphene oxide,Hydrophilic,RAFT polymerization,Reduced graphene oxide",ar,7,63
2-s2.0-85094621903,DENT,2020,230,"OIDP,Oral health-related quality of life,Oral impact on daily activities,Oral lichen planus,Thongprasom sign score",ar,6,53
2-s2.0-85092318463,VETE,2020,289,"Cryptorchidism,In-gel digestion coupled with mass spectrometry (GeLC-MS/MS),Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS),Pig,Tumor necrosis factor receptor superfamily member 18 (TNFRSF18)",ar,2,33
2-s2.0-85090002106,"BIOC,PHAR",2020,205,"Alzheimer’s disease,multi-targeting drugs,multiple Sclerosis,neurological disease,Parkinson’s disease,sigma receptors",re,26,252
2-s2.0-85121057023,MEDI,2020,330,"Dengue severity,Diabetes mellitus,Prognostic factor",re,2,16
2-s2.0-85107770366,COMP,2020,127,"3D-printing,CNN,deep learning,embeding information,image analysis,near-infrared image",cp,0,13
2-s2.0-85104941377,CHEM,2020,129,"DMAP-catalyzed benzoylation,Launaea sarmentosa,mixture of triterpenes",ar,2,20
2-s2.0-85103088286,MEDI,2020,260,"boost,cosmetic outcomes,early breast cancer,Intraoperative radiotherapy (IORT),local recurrence,whole breast irradiation",ar,7,27
2-s2.0-85101896245,MEDI,2020,254,,ar,0,
2-s2.0-85101441038,MEDI,2020,169,"antivirals,continuous renal replacement therapy,coronavirus disease 2019,extracorporeal membrane oxygenation,extracorporeal therapy",re,4,27
2-s2.0-85099485615,"MEDI,PHAR,SOCI,ENVI",2020,191,"Fetus,Mercury,Mice,Organogenesis,Retention,Toxicity",ar,0,26
2-s2.0-85098774941,MEDI,2020,202,"Anorectal manometry,Breath tests,Catheter-based pH-monitoring,COVID-19,Infection prevention,Motility disorders of the gastrointestinal tract,Oesophageal manometry,SARS-CoV-2,Wireless pH-monitoring (Bravo®)",ar,4,18
2-s2.0-85098625357,"ENVI,ENGI",2020,167,"Adsorption,Arsenic complexes,Arsenite,Ceria,Cerium oxide,Oxidation",ar,6,50
2-s2.0-85097833155,HEAL,2020,257,"(central) auditory process,cognition,dementia,dichotic,neurodegeneration",ar,7,41
2-s2.0-85097646793,"HEAL,PHAR",2020,314,"Academic Success,Curriculum,Education, Pharmacy,Evidence-Based Pharmacy Practice,Health Services Accessibility,Pharmaceutical Services,Pharmacies,Pharmacists,Pharmacy,Qualitative Research,Thailand,Workforce",ar,9,56
2-s2.0-85097122179,"NURS,MEDI",2020,152,"affect,autonomic nervous system,breathing exercise,cigarette cravings,HRV,nicotine withdrawal symptoms",ar,3,34
2-s2.0-85096974201,MEDI,2020,316,"management,pathological practice,Thai perspective,Thailand,thyroid nodules",re,1,23
2-s2.0-85096494444,"PHYS,MATH",2020,139,"Calibration,Cluster finding,Fitting methods,Large detector-systems performance,Pattern recognition",ar,9,31
2-s2.0-85096406220,MEDI,2020,0,,ed,0,
2-s2.0-85096366340,"PHYS,MATH",2020,202,,ar,93,29
2-s2.0-85096298782,"VETE,AGRI",2020,175,"African swine fever,Asia,Food security,Pigs",ar,45,36
2-s2.0-85096115561,COMP,2020,170,"customer relationship management,organizational performance,restaurants and hotels,Supply chain information technology",cp,2,83
2-s2.0-85096036632,"ENGI,MATE",2020,217,,ar,12,30
2-s2.0-85095452209,"MEDI,HEAL",2020,249,"Athletic performance,Blood lactate,Fatigue,Near-infrared spectroscopy",ar,1,26
2-s2.0-85095443053,MATE,2020,149,"InSb/AlInSb,Magnetic effect,Molecular beam epitaxy,Raman spectroscopy,Superlattices",ar,0,31
2-s2.0-85095116667,PHAR,2020,242,"Pharmacokinetics,Piperine,Sahastara remedy.",ar,6,15
2-s2.0-85094983840,MEDI,2020,538,"Acceptability,Child health supervision,Feasibility,KhunLook,Maternal and child health handbook,MHealth,Mobile app,Mobile phone,Thailand",ar,4,35
2-s2.0-85094931109,MEDI,2020,267,,ar,26,38
2-s2.0-85094916898,MEDI,2020,287,"BRAFV600E,immunohistochemistry (IHC),papillary thyroid carcinoma (PTC),Thailand,tissue microarray",ar,5,40
2-s2.0-85094892685,AGRI,2020,41,"Afrotropical,autapomorphy,Kakamega Forest,Kenya,ovipositor,sheath",re,0,11
2-s2.0-85094871572,MULT,2020,237,,ar,19,29
2-s2.0-85094859828,AGRI,2020,181,"inorganic phosphate,microplate,molybdenum blue assay,rice",ar,5,14
2-s2.0-85094838787,"BIOC,AGRI,MULT",2020,311,,ar,10,44
2-s2.0-85094826151,MEDI,2020,0,,ar,11,
2-s2.0-85094809714,"MEDI,BIOC",2020,302,"CCNA1,cervical cancer screening,CIN2+,CyclinA1 promotor methylation,self-sampling",ar,1,
2-s2.0-85094805628,MEDI,2020,0,,ar,4,
2-s2.0-85094625956,"IMMU,MEDI",2020,182,"Ocular sparganosis,Spirometra ranarum,Thailand",ar,3,20
2-s2.0-85094607736,MULT,2020,183,"Anionic polyelectrolyte,Cationic exchange,Chemical energy storage,Chemical engineering,Electrochemical energy engineering,Electrochemistry,Energy,Energy storage technology,Ionic conductivity,Materials science,Polyiodide crossover,Polymers,Zinc-iodine battery",ar,11,41
2-s2.0-85094598468,PHAR,2020,235,"AcMPAG,mycophenolic acid,mycophenolic acid acyl-glucuronide (AcMPAG),ultra-performance liquid chromatography mass spectrometry/mass spectrometry",ar,1,13
2-s2.0-85094591024,"MEDI,PHAR",2020,180,"extended depth of field imaging,image stitching,microscopic identification,pharmacognosy,polarized light,spatholobus suberectus Dunn",ar,2,13
2-s2.0-85094571065,"BIOC,AGRI,MULT",2020,304,,ar,22,64
2-s2.0-85094221055,"PHAR,MEDI",2020,113,"Delamanid,Drug resistance,Mutations,Mycobacterium tuberculosis,Natural polymorphism,Resistance",ar,7,36
2-s2.0-85094216042,"CENG,ENVI",2020,152,"Aliquat 336,HFSLM,Mass transfer,Palladium,Separation",ar,16,40
2-s2.0-85094197549,"CENG,ENVI",2020,225,"Fluorescent EEM,Fouling,MBR,Pulp & paper,SMPs",ar,39,50
2-s2.0-85093943566,"PHYS,EART",2020,317,"Galaxies: evolution,Galaxies: high-redshift,Galaxies: photometry,Galaxies: star formation,Galaxies: structure,Submillimeter: galaxies",ar,19,98
2-s2.0-85093362798,"MATE,ENGI",2020,191,"Electrolytic pickling,Hydrogen peroxide,Polarization,Sodium sulphate,Stainless steel",ar,1,25
2-s2.0-85093122730,DENT,2020,255,"bone,epidemiologic studies,oral hygiene,osteoporosis,periodontitis,trabecular bone",ar,4,50
2-s2.0-85093096600,CENG,2020,0,,ed,2,10
2-s2.0-85092941332,"CHEM,MATE",2020,170,"Hyperbranched epoxy,Photo-polymerization,Rheological property,Thermal property",ar,2,35
2-s2.0-85092930923,MEDI,2020,73,"Etiology,Hydrops fetalis,Non-immune hydrops fetalis",re,0,33
2-s2.0-85092889885,"BIOC,MEDI",2020,192,"Co-expression network,CSSLs,Drought stress,KDML105 rice",ar,5,43
2-s2.0-85092793397,MEDI,2020,345,"Anesthesia,Complication,Endobronchial intubation,Hypoxia,Intubation",ar,0,20
2-s2.0-85092789394,MEDI,2020,257,"CHA2DS2-VASc score,Non-valvular atrial fibrillation,Oral anticoagulant,Outcomes,Thailand",ar,0,38
2-s2.0-85092757645,MEDI,2020,355,"ABC score,CHULA criteria,Massive transfusion",ar,1,18
2-s2.0-85092754069,MEDI,2020,385,"bone mineral density,calcium,HIV pre-exposure prophylaxis,vitamin D,young men who have sex with men,young transgender women",ar,6,54
2-s2.0-85092753152,"BIOC,AGRI,MULT",2020,345,,ar,50,21
2-s2.0-85092734889,DENT,2020,216,"Anti-infective agents,Bone regeneration,Decontamination,Dental implants,Implant complications,Peri-implantitis,Periodontal debridement",re,67,90
2-s2.0-85092709391,CENG,2020,217,"Antibacterial property,Antifouling property,Polyvinylidene fluoride membrane (PVDF),Silver nanoparticles (AgNP),Titanium dioxide nanoparticles (TiO2-NP)",ar,29,46
2-s2.0-85092688706,"CENG,ENVI",2020,234,"Ammonia nitrogen removal,Mathematical modeling,Membrane contactors,Partial wetting,pH effects",ar,11,40
2-s2.0-85092686474,"MEDI,IMMU,BIOC,PHAR",2020,273,"autoimmunity,immunotherapy,inflammation",ar,11,
2-s2.0-85092680597,MEDI,2020,302,"Acute kidney injury,Epidemiology,Intensive care unit,Thailand",ar,44,47
2-s2.0-85092680060,MEDI,2020,236,"Complication of filler injection,Forehead augmentation,Frontal branch of superficial temporal artery,Superficial and deep branches of supraorbital artery,Ultrasonographic investigation",ar,2,37
2-s2.0-85092625271,"ENGI,PHYS",2020,105,,ar,9,63
2-s2.0-85092611110,"PHYS,EART",2020,273,,ar,10,203
2-s2.0-85092563545,MEDI,2020,0,,ar,0,2
2-s2.0-85092512889,PHYS,2020,156,"Gauge Symmetry,Scattering Amplitudes",ar,15,108
2-s2.0-85092463260,CHEM,2020,126,"Copper nanoparticles fabricated onto reduced graphene oxide,Effect of water,Ullmann-coupling reaction",ar,1,69
2-s2.0-85092067766,"AGRI,NURS",2020,313,"Anthocyanin,Antioxidant,Glycemia,Postprandial,Riceberry rice,Yogurt",ar,16,47
2-s2.0-85091992231,"ENGI,PHYS",2020,177,,ar,34,68
2-s2.0-85091922725,"CENG,BIOC,CHEM,COMP",2020,179,"Cycling performances,Electrochemical characterization,Electrolyte additive,Sulfur-containing additive,Zinc–air batteries",ar,30,40
2-s2.0-85091843481,"BIOC,PHAR",2020,206,"Citrus hystrix,Cyclin D1,High glucose,Neuronal senescence,Pcdc2,PRb,SH-SY5Y,SIRT1",ar,10,139
2-s2.0-85091802240,"BIOC,PHAR",2020,233,"Clomipramine,Density functional theory (DFT) calculation,Doxepin,Tricyclic antidepressants,X-ray analysis,β-cyclodextrin",ar,10,43
2-s2.0-85091796877,MEDI,2020,210,"Blenderized diet,Contamination,Enteral nutrition,Hang time,Infectious diarrhea,Powdered diet",ar,2,10
2-s2.0-85091767244,MEDI,2020,0,,ar,3,9
2-s2.0-85091715423,EART,2020,317,"fluid inclusions,Huai Kham on gold deposit,metamorphic water,oxygen isotope values,Sukhothai Fold Belt,Thailand",ar,1,72
2-s2.0-85091691719,MEDI,2020,297,,ar,3,32
2-s2.0-85091633939,"CENG,BIOC,CHEM,COMP",2020,150,"Composite gel polymer electrolyte,Composite membrane separator,MCM-41,Polyvinyl alcohol,Zinc–air battery",ar,7,40
2-s2.0-85091535485,"MEDI,NEUR",2020,177,"COLQ,Myopathy,Neuromuscular junction,Novel variants,Whole exome sequencing",ar,5,38
2-s2.0-85091470049,"PHAR,MEDI",2020,91,"Drug resistance,Fitness cost,HIV-TB coinfection,Mycobacterium tuberculosis,Rifampicin",ar,3,37
2-s2.0-85091462900,ENVI,2020,107,"CFD,Idealized trachea,Particulate matter",ar,0,12
2-s2.0-85091437994,ENVI,2020,180,"Amine,CO2,Density,Diffusivity,Viscosity",ar,4,11
2-s2.0-85091422824,ENVI,2020,215,"17α-Methyltestosterone,Androgenic activity,Bacterial isolate,Degradation intermediate,Labile organic carbon,Steroid transformation,Tilapia sex reversal",ar,5,78
2-s2.0-85091343486,"MATE,ENGI",2020,189,"Anchorage,Embedded through-section,Experiment,Fiber reinforced polymer,Shear strengthening,Truss analogy",ar,14,21
2-s2.0-85091143288,"CENG,CHEM",2020,234,"Bulk g-C3N4,Cationic dye adsorption,Photocatalysts,Visible light",ar,22,39
2-s2.0-85091123867,MULT,2020,137,"Forgiveness,Humility,Information literacy self-efficacy,Mental health,Subjective happiness",dp,2,7
2-s2.0-85091101848,MEDI,2020,230,,re,2,133
2-s2.0-85090983433,MEDI,2020,0,,le,1,21
2-s2.0-85090974367,ECON,2020,149,"Conflicts of interest,Initial public offerings,Mutual funds,Retail investors",ar,0,64
2-s2.0-85090945700,MATH,2020,43,,ar,1,8
2-s2.0-85090786590,MEDI,2020,231,"Colorectal cancer,Laparoscopic surgery,Liver metastases,Simultaneous surgery",ar,7,24
2-s2.0-85090760692,"BIOC,IMMU",2020,308,"Cyanobacteria,Elongation factor P,Hyperelongation,Synechococcus elongatus PCC7942",ar,1,32
2-s2.0-85090612823,AGRI,2020,305,"adsorbent,blue trumpet vine,broiler chicken,glutathione peroxidase",ar,0,40
2-s2.0-85090505970,MEDI,2020,235,"epidemiology,infective endocarditis,meta-analysis,systematic reviews,transcatheter aortic valve replacement",ar,5,80
2-s2.0-85090463898,DENT,2020,210,"abutments,immunohistochemistry,inflammation,peri-implant soft tissue",ar,10,41
2-s2.0-85090425170,AGRI,2020,242,"Acid hydrolysate,Carotenoids,Defatted Chlorella biomass,Paracoccus sp. LL1,Polyhydroxyalkanoates",ar,21,33
2-s2.0-85090275634,AGRI,2020,205,"herbal products,HPTLC,NGS,Senna alexandrina,Thai Herbal Pharmacopoeia",ar,4,36
2-s2.0-85090237601,"HEAL,MEDI",2020,251,"Achilles stretching,Calf stretching,Plantar fascia-specific stretching,Plantar fasciitis,Tendon",re,15,41
2-s2.0-85090223114,MEDI,2020,282,"Caries,Fluoride varnish,Oral health program,School-based,Sealants",ar,3,27
2-s2.0-85090189743,MEDI,2020,262,"Adenosine triphosphate,Bacterial contamination,Duodenoscopes,Reprocessing,Triple adenylate nucleotides",ar,8,26
2-s2.0-85090119802,"NURS,MEDI",2020,0,,le,13,7
2-s2.0-85089624844,"ECON,ENVI",2020,210,"Collective threshold,Common-pool resource,Experiment,Payments,Reward size",ar,1,45
2-s2.0-85089567280,"NEUR,BIOC,PHAR",2020,304,"Knee,OA,Physical performance,Telomere length",ar,9,39
2-s2.0-85089543880,"MATE,PHYS",2020,215,"Peeling test,Poly(ethylene terephthalate),Polyelectrolyte multilayers,Silver nanowires,Transparent flexible electrode",ar,3,47
2-s2.0-85089492646,MATH,2020,69,"Fundamental groups,Quotient spaces,Topological groups",ar,1,5
2-s2.0-85089279845,"CENG,ENVI",2020,229,"BiCuVOx,EPOC,NEMCA,Propane,Thin film,YSZ",ar,0,24
2-s2.0-85089233076,"BIOC,PHAR",2020,245,"COVID-19,Respiratory infection,SARS-CoV-2,Treatment",re,62,338
2-s2.0-85089148253,PHAR,2020,194,"Complexation,Crystal structures,Crystallography,Cyclodextrin,Desipramine,DFT calculation,Imipramine,Inclusion compounds,Solid state,Tricyclic antidepressants",ar,12,41
2-s2.0-85088857953,BIOC,2020,208,,ar,266,49
2-s2.0-85088809122,"HEAL,MEDI",2020,262,"carbohydrate,epilepsy,ketogenic diet,medication,paediatrics",ar,0,20
2-s2.0-85088656763,NEUR,2020,293,"Inflammation,Maternal immune activation,Neuro-immune,Neuroprotection,Oxidative stress,Schizophrenia-like behaviors",ar,46,51
2-s2.0-85088649520,PHAR,2020,240,"Cancer,Cratoxylum formosum,Gene expression,Green synthesis,Pathway,Zinc oxide nanoparticle",ar,22,96
2-s2.0-85088453173,NEUR,2020,223,"Astrocytes,Autoimmunity,Cytokines,Depression,Glia,Leaky gut,LPS,Microbiota,Microglia,Neurodegeneration,Neuroimmunomodulation,Oxidative stress",re,36,321
2-s2.0-85088380860,"MATE,CENG",2020,172,"Hot melt adhesive,Phase separation,Polycarbonate diol,Thermoplastic polyurethane",ar,21,48
2-s2.0-85087950928,"IMMU,MEDI",2020,226,"Coinfection,Francisellosis,Ichthyophthiriasis,Tilapia,White spot disease",ar,16,37
2-s2.0-85087917576,EART,2020,249,"Dasyclads,Khao khad formation,Large gastropods,Microbialites,Permian,Saraburi group",ar,4,87
2-s2.0-85087883456,MEDI,2020,222,"99mTc-DTPA,Cystatin c,Glomerular filtration rate,ICU survivors",ar,3,29
2-s2.0-85087825986,"AGRI,CHEM,PHYS",2020,232,"Complexation,Counter ion,Dovitinib,Salt formation,Solubility,γ-Cyclodextrin",ar,3,43
2-s2.0-85087807101,"CENG,CHEM",2020,101,"Alumina-spherical silica particle,Catalytic dehydration,Composite catalyst,Ethanol,Ethylene",ar,6,34
2-s2.0-85087722050,MEDI,2020,265,"breast cancer,cosmesis,hypofractionation,satisfaction,simultaneous integrated boost",ar,7,38
2-s2.0-85087694743,"MEDI,NEUR",2020,202,"Covid-19,Pandemics,Psychological distress,Stigma,Thailand",ar,31,21
2-s2.0-85087678880,MEDI,2020,333,"Child,developing country,infection,lupus",ar,2,35
2-s2.0-85087653491,ENER,2020,221,"Bioethanol,Biorefinery,Casein hydrolysate,Glycerol,Klebsiella aerogenes",ar,17,41
2-s2.0-85087419444,"HEAL,MEDI",2020,191,"Amputees,Dressings,Rehabilitation",ar,4,19
2-s2.0-85087198080,CENG,2020,186,"Intramolecular charge transfer,Solvatochromism,Trace water detection: Fluorescence probe,Triazaborolopyridinium",ar,31,44
2-s2.0-85087106294,"MATE,PHYS",2020,202,"Antifungal,Electron beam,PDMAEMA,Silver nanoparticle,SiO2 nanoparticle",ar,17,85
2-s2.0-85086511339,"BIOC,MEDI",2020,206,"Genitourinary syndrome of menopause,Placebo,Pueraria mirifica,Vaginal microenvironment",ar,5,29
2-s2.0-85086378179,BIOC,2020,350,"assisted reproductive technology,egg donor,infertility,IVF,surrogacy",ar,0,22
2-s2.0-85086366642,BIOC,2020,245,"autophagy,nerve injury,proteasome,ubiquitin",ar,0,23
2-s2.0-85086360831,"MATE,PHYS,ENGI",2020,205,"Competitive immunoassay,Oxytetracycline,Paper-based analytical device,Signal-on electrochemical biosensor",ar,24,44
2-s2.0-85086357954,BIOC,2020,249,"anterior cruciate ligament reconstruction,autografts,hamstring tendons,patellar tendon,quadriceps tendon",ar,3,23
2-s2.0-85086079070,"BIOC,CENG,IMMU",2020,155,"CO2 utilization,CRISPR-Cas systems,Cyanobacteria,Synthetic biology",ar,18,90
2-s2.0-85085876987,EART,2020,342,"angle-domain common-image-gathers,connected-component labeling (CCL),Seismic migration",ar,0,50
2-s2.0-85085757687,"BIOC,ECON,ENER",2020,203,"Computational protein design,Flexibility,Levansucrase,Molecular dynamics simulations,Oligosaccharides,Thermostability",ar,21,82
2-s2.0-85085749942,"IMMU,MEDI",2020,221,"cost efficiency,COVID-19,PCR,real-time PCR,SARS-CoV-2,specimen pooling",ar,63,11
2-s2.0-85085650352,CHEM,2020,164,"DFT and TD-DFT,equilibria in acetonitrile and water,IR spectra,simulated UV–Vis spectra,α-mangostin conformers",ar,0,72
2-s2.0-85085581259,"MEDI,DENT",2020,212,"minimal important change,minimal important difference,Oral lichen planus,Quality of Life,responsiveness",ar,9,27
2-s2.0-85085572163,"BUSI,DECI",2020,63,,ar,2,14
2-s2.0-85085303335,"ENGI,EART,SOCI",2020,233,"Dangerous profession,Defensive system,Disaster preparedness,Emergency reaction,Questionnaire development,Sensation seekers",ar,7,83
2-s2.0-85084359961,EART,2020,323,"Dredged sediment,Pavement materials,Resilient modulus,Reuse,Treatment",ar,55,59
2-s2.0-85084203626,EART,2020,221,"Circular tunnels,Design equation,Finite element limit analysis,Hoek-Brown,Rock mass",ar,49,76
2-s2.0-85083551671,AGRI,2020,209,"Anthocyanins,Butterfly pea,Grey relational analysis,Multiple response optimization,Taguchi method,Ultrasound-assisted extraction",ar,12,41
2-s2.0-85081573245,"ENVI,ENER",2020,270,"Biogas,Renewable energy,Swine farming,Wastewater",ar,5,27
2-s2.0-85079731281,AGRI,2020,294,,ar,13,52
2-s2.0-85078933744,EART,2020,223,"Contraction method,Finite Element Analysis,Hardening Soil (HS) model,Kenny Hill Formation,Twin tunnel",ar,4,26
2-s2.0-85076934336,"IMMU,AGRI,VETE",2020,268,"Human pythiosis,In vitro susceptibility,Keratitis,Ocular pythiosis,P. insidiosum,Vascular pythiosis",re,16,81
2-s2.0-85073812087,MEDI,2020,359,"Chronic Achilles tendon ruptures,FHL,FHL with augmentation,Meta-analysis",re,8,47
2-s2.0-85061900274,"HEAL,MEDI",2020,208,"cardiology,LDL-C goal,primary PCI,statin intensity,STEMI",ar,1,21
2-s2.0-85055691687,"COMP,ENGI",2020,155,"Block-chain technology (BCT),Business process management (BPM),Industry 4.0,Internet of things (IoT),Quality of Services (QoS),Service selection and composition,Smart contracts,Trustworthiness",ar,152,68
2-s2.0-85055673174,"COMP,ENGI",2020,34,,er,0,
2-s2.0-85102437902,COMP,2020,271,"Albumin,Ascites,Hepatectomy,Mathematical model,Oncotic pressure",cp,0,16
2-s2.0-85092234898,ENGI,2020,220,"Hydropower,IFAS,MINLP,Optimization model,Reservoir rule curves",ar,2,32
